neighborhood,premisescounty,venue_count,avg_subway_entrances,avg_complaints,subway_score,safety_score,competition_score,popupiq_score,boro_check,ntaname,boroname
West Village,New York,304,14.990131578947368,513.9078947368421,22.71232057416268,51.74573758339511,58.29903978052127,41.4,Manhattan,West Village,Manhattan
East Harlem (South),New York,46,4.6521739130434785,544.4130434782609,7.04874835309618,48.881404368238414,93.68998628257887,41.1,Manhattan,East Harlem (South),Manhattan
Harlem (South),New York,34,5.735294117647059,596.0882352941177,8.689839572192513,44.02927368130351,95.33607681755831,40.2,Manhattan,Harlem (South),Manhattan
Melrose,Bronx,10,4.4,627.8,6.666666666666667,41.051643192488264,98.62825788751715,38.8,Bronx,Melrose,Bronx
Mount Hope,Bronx,12,2.3333333333333335,594.3333333333334,3.535353535353536,44.19405320813771,98.35390946502058,38.8,Bronx,Mount Hope,Bronx
Chinatown-Two Bridges,New York,74,10.905405405405405,692.4054054054054,16.52334152334152,34.98540794315442,89.84910836762688,38.6,Manhattan,Chinatown-Two Bridges,Manhattan
East Village,New York,277,8.628158844765343,529.9566787003611,13.072967946614156,50.23880951170319,62.002743484224965,37.7,Manhattan,East Village,Manhattan
Fordham Heights,Bronx,20,8.9,766.05,13.484848484848486,28.07042253521127,97.25651577503429,36.1,Bronx,Fordham Heights,Bronx
SoHo-Little Italy-Hudson Square,New York,294,19.517006802721088,766.7108843537414,29.571222428365285,28.00836766631536,59.67078189300412,35.0,Manhattan,SoHo-Little Italy-Hudson Square,Manhattan
Greenwich Village,New York,241,19.37759336099585,811.6473029045643,29.359989940902803,23.788985642763915,66.94101508916323,34.6,Manhattan,Greenwich Village,Manhattan
Midtown-Times Square,New York,729,33.47325102880659,695.8587105624142,50.71704701334331,34.66115393780148,0.0,34.2,Manhattan,Midtown-Times Square,Manhattan
Lower East Side,New York,193,9.202072538860104,782.1139896373057,13.942534149788036,26.562066700722465,73.52537722908093,30.9,Manhattan,Lower East Side,Manhattan
Midtown South-Flatiron-Union Square,New York,582,32.16494845360825,885.4914089347079,48.73477038425492,16.855266766694086,20.16460905349794,30.3,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
Hell's Kitchen,New York,565,30.47787610619469,914.224778761062,46.17860016090105,14.157297768914368,22.496570644718794,28.6,Manhattan,Hell's Kitchen,Manhattan
Chelsea-Hudson Yards,New York,569,19.321616871704745,792.9068541300527,29.27517707834052,25.548652194361253,21.94787379972565,26.3,Manhattan,Chelsea-Hudson Yards,Manhattan
